,0.0,0.1,0.2,0.30000000000000004
3,"(None, 0.0, 0.0, -0.5)","(None, -0.9174122236877394, -0.9168363718182234, 0.5416813491275093)","(None, -0.20568368648708837, -0.35030124583499694, 0.46818812473789684)","(None, -0.02027470197938865, -0.04436919642474002, 0.323796941055196)"
4,"(None, 0.0, 0.0, -0.05479452054794518)","(None, -0.003195774439751612, -0.0032381518304944526, 0.6506286491317725)","(None, 0.5752124104829289, 0.5684628680855072, 0.9747153723318267)","(None, -0.23361873125001825, -0.23598825023169404, 0.639523763210234)"
5,"(None, 0.0, 0.0, -0.5384615384615385)","(None, 0.1000915159116503, 0.10007057778004766, -0.09436912252370938)","(None, -0.25865709265913683, -0.25801245823515623, -0.7390843237064159)","(None, -0.4796130765908484, -0.4692029899940161, -0.32880850892529695)"
6,"(None, 0.0, 0.0, 1.0)","(None, 0.0783959237802065, 0.07839600340604531, 0.6137962129834027)","(None, 0.25505160280999334, 0.2551200708756846, 0.1360217347622844)","(None, 0.08920573440533347, 0.0740134189484749, 0.37147803998258133)"
