;0.0;0.04;0.08;0.12;0.16;0.2;0.24;0.28;0.32;0.36
3;(0.0, 0.0);(-0.004447299707204744, -0.005895569619502962);(-0.015133345207908289, -0.021616992846211658);(-0.02728681688270743, -0.04426460730894949);(-0.03714668772210971, -0.07089364749688985);(-0.042377769923178106, -0.0984034922728085);(-0.04191756287890157, -0.12324194361885646);(-0.03599588581013594, -0.140911221542594);(-0.025929940179684318, -0.14600470516559994);(-0.01355751350456707, -0.13373751402534292)
4;(0.0, 0.0);(-0.005805049693801795, -0.005895569619502962);(-0.020348131464048087, -0.021616992846211658);(-0.038185745793968426, -0.04426460730894949);(-0.05321866667198255, -0.07089364749688985);(-0.06112917695671286, -0.0984034922728085);(-0.060806032608296555, -0.12324194361885646);(-0.05399272073386802, -0.140911221542594);(-0.04370730169811882, -0.14600470516559994);(-0.032618400401929114, -0.13373751402534292)
5;(0.0, 0.0);(-0.0058934690895449645, -0.005895569619502962);(-0.021491681192325002, -0.021616992846211658);(-0.04280792411850654, -0.04426460730894949);(-0.06341587907722335, -0.07089364749688985);(-0.07598827703067379, -0.0984034922728085);(-0.0771075300149338, -0.12324194361885646);(-0.06910769455149461, -0.140911221542594);(-0.056905944030712724, -0.14600470516559994);(-0.04438973637973248, -0.13373751402534292)
