;0.08;0.16;0.24;0.32;0.4
3;(-0.15522629265024376, -0.14327351918855338);(-0.27975347018713986, -0.20533439951895704);(-0.33890518417199605, -0.19290341800792654);(-0.3299882851630717, -0.18980212129042068);(-0.07515882726045092, -0.33935391543926574)
4;(-0.1440614489923641, -0.14327351918855338);(-0.2212988827990164, -0.20533439951895704);(-0.2454973144827919, -0.19290341800792654);(-0.24873697714395812, -0.18980212129042068);(-0.13273230425737473, -0.33935391543926574)
5;(-0.14331160188256978, -0.14327351918855338);(-0.20680043672681267, -0.20533439951895704);(-0.19791300286327843, -0.19290341800792654);(-0.17832694483341902, -0.18980212129042068);(-0.17059130867357689, -0.33935391543926574)
6;(-0.1432756221391333, -0.14327351918855338);(-0.20563696959051264, -0.20533439951895704);(-0.19517376629934668, -0.19290341800792654);(-0.18521491081466282, -0.18980212129042068);(-0.26661453658134876, -0.33935391543926574)
7;(-0.1432741116469437, -0.14327351918855338);(-0.20542854680767192, -0.20533439951895704);(-0.19356024587180273, -0.19290341800792654);(-0.1842849994262189, -0.18980212129042068);(-0.29297648185208097, -0.33935391543926574)
