;0.08;0.16;0.32;0.4
3;-7.790469113373154;-7.233460498647724;-7.037373172869271;-2.0458989211975394
4;-10.24282021869808;-12.36137331501967;-9.587181184061038;-5.48827713367966
5;-12.592197762523181;-12.992931756152688;-11.696888906128605;-8.311109168309345
6;-17.034388152903027;-14.873582723385644;-11.849709383758247;-9.5636503069645
7;-20.291771292055355;-22.515797820638078;-17.434075719975436;-13.187385804770772
8;-25.84392011591721;-23.71156447200366;-26.5333261797427;-15.955098185357071
9;-37.83346163821395;-36.04365338911715;-39.12497759300655;-34.72189754913484
