;0.0;0.044444444444444446;0.08888888888888889;0.13333333333333333;0.17777777777777778;0.22222222222222224;0.26666666666666666;0.3111111111111111;0.35555555555555557;0.4
3;(0.0, 0.0);(-0.002343898620057555, -0.0030864085169238498);(-0.019192671379255167, -0.025004505998124774);(-0.06295505749072702, -0.07839239991001024);(-0.13556581759637135, -0.15724278464317804);(-0.22038689268595268, -0.2340510757397175);(-0.28530755384647444, -0.27180755912651944);(-0.3026742069021067, -0.24460378140398542);(-0.2680400725147731, -0.153697516656745);(0.2653359874698096, -0.028378541760698383)
4;(0.0, 0.0);(-0.002624563182024208, -0.0030864085169238498);(-0.021451778662565563, -0.025004505998124774);(-0.06807289375655882, -0.07839239991001024);(-0.13879630415826097, -0.15724278464317804);(-0.21042658314548032, -0.2340510757397175);(-0.24684167763542583, -0.27180755912651944);(-0.21544657083502683, -0.24460378140398542);(-0.10824428979170224, -0.153697516656745);(0.03200418916134486, -0.028378541760698383)
5;(0.0, 0.0);(-0.0030863983202413926, -0.0030864085169238498);(-0.025001766146436434, -0.025004505998124774);(-0.0783396899173267, -0.07839239991001024);(-0.15687953207219335, -0.15724278464317804);(-0.23266459706219517, -0.2340510757397175);(-0.26819798844275605, -0.27180755912651944);(-0.23733120997390286, -0.24460378140398542);(-0.14177387972021965, -0.153697516656745);(-0.06012005229360683, -0.028378541760698383)
