N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
4,QAOA,TFIM,-10,2,6,hypersphere,10,22.0,0.22285233311497565,-21.448347894518378,-19.999999999999897,-21.448347894518378
4,QAOA,TFIM,-10,2,6,hypersphere,10,36.0,0.7166951426807912,-21.448347894518374,-21.448347894517553,-21.448347894518374
4,QAOA,TFIM,-10,2,6,hypersphere,10,52.0,0.9999999999999691,-21.448347894518356,-21.44834789451771,-21.448347894518356
4,QAOA,TFIM,-10,2,6,hypersphere,10,37.0,0.22286749865858096,-21.44834789451838,-19.999999999977284,-21.44834789451838
4,QAOA,TFIM,-10,2,6,hypersphere,10,45.0,0.22284983090164584,-21.44834789451838,-19.999999999982947,-21.44834789451838
4,QAOA,TFIM,-10,2,6,hypersphere,10,25.0,0.9999999999999659,-21.448347894518378,-21.44834789451802,-21.448347894518378
4,QAOA,TFIM,-10,2,6,hypersphere,10,75.0,0.9999999999999786,-21.44834789451838,-21.448347894518225,-21.44834789451838
4,QAOA,TFIM,-10,2,6,hypersphere,10,23.0,0.9999999999999936,-21.44834789451836,-21.448347894518275,-21.44834789451836
4,QAOA,TFIM,-10,2,6,hypersphere,10,19.0,0.2228523064883118,-21.448347894518356,-19.999999999998348,-21.448347894518356
4,QAOA,TFIM,-10,2,6,hypersphere,10,88.5,0.22285451222342068,-21.448347894518342,-19.999999999986507,-21.448347894518342
4,QAOA,TFIM,-10,2,6,hypersphere,10,38.0,0.7166951693071199,-21.44834789451835,-21.44834789451772,-21.44834789451835
4,QAOA,TFIM,-10,2,6,hypersphere,10,34.0,0.9999999999999704,-21.448347894518374,-21.448347894518157,-21.448347894518374
4,QAOA,TFIM,-10,2,6,hypersphere,10,44.0,0.7166951452987732,-21.448347894518378,-21.44834789451789,-21.448347894518378
4,QAOA,TFIM,-10,2,6,hypersphere,10,41.0,0.22283877279804654,-21.44834789451838,-19.999999999884107,-21.44834789451838
4,QAOA,TFIM,-10,2,6,hypersphere,10,50.0,0.7166950979598129,-21.448347894518378,-21.448347894518314,-21.448347894518378
4,QAOA,TFIM,-10,2,6,hypersphere,10,56.0,0.9999999999998669,-21.448347894518385,-21.448347894517003,-21.448347894518385
4,QAOA,TFIM,-10,2,6,hypersphere,10,49.0,0.999999999999973,-21.44834789451837,-21.44834789451828,-21.44834789451837
4,QAOA,TFIM,-10,2,6,hypersphere,10,27.0,0.999999999999985,-21.448347894518374,-21.448347894518204,-21.448347894518374
8,QAOA,TFIM,-10,2,6,hypersphere,10,5.666666666666667,0.9999999889342349,-50.7593407109063,-50.75934116789849,-50.759341167898966,QAOA,TFIM,-10,2,6,hypersphere,10,31.0,0.9999999999999979,-40.221465835702254,-40.22146583570222,-40.221465835702254
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.1379310344827587,0.8775788507080629,-35.73830447071481,-40.22146583570002,-40.221465835700755
6,QAOA,TFIM,-10,2,6,hypersphere,10,32.0,0.9999999999999718,-40.22146583570226,-40.22146583570093,-40.22146583570226
6,QAOA,TFIM,-10,2,6,hypersphere,10,0.7843137254901961,0.17903786199492966,-31.513840177140157,-40.2214658357022,-40.18147782531505
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.7560975609756098,0.29083716332901677,-31.648666448362647,-40.18147782531483,-40.221465835702176
6,QAOA,TFIM,-10,2,6,hypersphere,10,35.0,0.9999999999999962,-40.221465835702304,-40.221465835702155,-40.221465835702304
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.7241379310344827,0.035352205351442394,-34.09495467350418,-40.18147782531334,-40.22146583570218
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.3773584905660377,0.06382833756688816,-31.504455610017118,-40.221465835702254,-40.181477825314985
6,QAOA,TFIM,-10,2,6,hypersphere,10,50.0,0.999999999999995,-40.18147782531509,-40.181477825314964,-40.18147782531509
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.8064516129032258,0.9832083058323179,-39.16086549292052,-40.22146583570161,-40.22146583570069
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.6071428571428572,0.9544397088025601,-38.069593898034384,-40.18147782531512,-40.18147782531496
6,QAOA,TFIM,-10,2,6,hypersphere,10,95.0,6.284709157568567e-13,-40.221465835702304,-40.18147782531503,-40.221465835702304
6,QAOA,TFIM,-10,2,6,hypersphere,10,154.0,3.119469991786178e-12,-40.22146583570208,-40.18147782531494,-40.22146583570208
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.1290322580645162,0.01146794048144387,-36.52685921422786,-40.22146583570224,-40.18147782531499
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.7037037037037037,0.9985639730697217,-40.09561391492028,-40.181477825314765,-40.18147782531515
