N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.2777777777777777,0.9999999690269081,-4.653055636933652,-4.653055889414944,-4.653055889402063
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.272727272727273,0.9906395723787911,-4.653055873645015,-4.653055889402703,-4.653055889286424
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.6875,0.9999999937563495,-4.653055867171549,-4.653055889417539,-4.653055889416639
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.571428571428571,0.9906355517905664,-4.6530558865078815,-4.653055889417064,-4.653055888418422
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.9166666666666667,0.9999999900865484,-4.653055867639006,-4.653055889368795,-4.65305588941739
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.888888888888889,0.9906370788475227,-4.653055885128252,-4.653055889417503,-4.653055889087641
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8571428571428572,0.9999999979439065,-4.6530558814338825,-4.653055889417411,-4.653055889149437
4,QAOA,TFIM,-1,2,6,hypersphere,10,6.0625,0.9906358682878594,-4.653055844483671,-4.653055889411109,-4.653055889409294
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.3333333333333335,0.9999999836063262,-4.653055815497742,-4.653055889416719,-4.653055889417492
4,QAOA,TFIM,-1,2,6,hypersphere,10,0.9285714285714286,0.09578038091055878,-4.653055878737003,-2.0,-4.653055888952203
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8333333333333333,0.9999999983856458,-4.653055881581299,-4.653055889416838,-4.6530558894162155
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.6428571428571428,0.9999998853531922,-4.653055590580178,-4.6530558893987815,-4.653055889417316
4,QAOA,TFIM,-1,2,6,hypersphere,10,5.3076923076923075,0.9999998963467454,-4.6530555847880635,-4.65305588939895,-4.653055889409397
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.375,0.9906335126887784,-4.653055865916172,-4.653055889411396,-4.653055889390574
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.6666666666666665,0.9906382904615582,-4.653055872376273,-4.653055889405394,-4.65305588940838
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.588235294117647,0.99999999756515,-4.653055868420439,-4.653055889411782,-4.65305588940868
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.5625,0.9999999559478634,-4.65305572353542,-4.653055889416234,-4.653055889415538
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.0,0.9999999986218017,-4.653055881916339,-4.653055889414773,-4.653055888482718
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.1764705882352942,0.09576425765549622,-4.6530558412759495,-1.999999999976306,-4.653055889409453
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.588235294117647,0.999999977594027,-4.6530557640447965,-4.653055889406306,-4.653055889407692
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.7647058823529411,0.9999999969397575,-4.653055870115858,-4.653055889412894,-4.653055889402788
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.357142857142857,0.9999999639649815,-4.653055802744556,-4.6530558894050635,-4.653055889417468
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.7142857142857144,0.9999999757557068,-4.653055751308616,-4.653055889414379,-4.653055889395054
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.285714285714286,0.9999999994102027,-4.653055887184435,-4.653055889416669,-4.6530558886566
4,QAOA,TFIM,-1,2,6,hypersphere,10,7.4,0.9999999997111305,-4.653055887235911,-4.653055889417429,-4.65305588933043
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.857142857142857,0.9999999987926674,-4.653055884805674,-4.653055889410892,-4.653055887699393
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.142857142857143,0.9999999988021253,-4.653055885106307,-4.6530558894167475,-4.653055887836387
